,yelp_id,yelp_name,yelp_review_count,yelp_rating,yelp_address,latitude,longitude,citibike_id
55,,,,,,49.298657,49.298657,e3d32ad772a5898c3b96c4d23d2cd542
56,,,,,,49.259183,49.259183,625a2ad202275c8e2be3ce868e85b105
57,,,,,,49.263837,49.263837,6c0de983fb47a3439a9e3c36a3d15804
58,,,,,,49.270721,49.270721,92c9e62c0b42adf4759c430009d3987a
59,,,,,,49.265605,49.265605,51e4d3731aebbf9c3186f310a08de6c8
60,,,,,,49.267222,49.267222,826af7eee4ce28b6fa4b4f0211305792
61,,,,,,49.262255,49.262255,4cb84c9a3743287019ae00ceef9a1cd3
62,,,,,,49.257654,49.257654,56fef9ba0af67a4ff3e661a8e02c0b08
63,,,,,,49.25919,49.25919,c81f75a80312c51ceaef1304beac1990
64,,,,,,49.25741,49.25741,afacb2133f2462aba7748cc21b71c788
65,,,,,,49.285953,49.285953,a9f0b06d07f89b75e92c0cf686223aea
66,,,,,,49.280881,49.280881,686b314a6c3348efd2297d6b3dfed1a7
67,,,,,,49.256845,49.256845,0d1b5c62f8d22e3650811df55596e25b
68,,,,,,49.25849,49.25849,521c2122c791ed038168c3b8ff24061b
69,,,,,,49.258425,49.258425,838d5bb59963474ad08a6d5b156943ed
70,,,,,,49.270905,49.270905,b9ab6ce009eda6006ade1d7568d9db9c
71,,,,,,49.273568,49.273568,9ec4163496363b31ab475cb851b57b21
72,,,,,,49.277141,49.277141,fedff7a263c182df94bda7307059cc52
73,,,,,,49.267859,49.267859,b9baf685b7053de899bf3467f61c2781
74,,,,,,49.265336,49.265336,8d6f0cbf7d44d2908c8ce73ed00dbf66
75,,,,,,49.267628,49.267628,988f8f74c4a12d1a30ddf2f7cd6318f8
76,,,,,,49.275938,49.275938,2f09a64507cf6257c67ca20af27339eb
77,,,,,,49.2756,49.2756,73f388336d879bedc962cd412eb0296e
78,,,,,,49.284157,49.284157,cb6fddfdac7d350d25be475c7ab9e05a
79,,,,,,49.258924,49.258924,cadc004f0903ef45e898032143c0832f
80,,,,,,49.266774,49.266774,57e928d8c30fab0ebffb3ede850f89d6
81,,,,,,49.273355,49.273355,6526a2eb3832f9ba0224d237e901ea5b
82,,,,,,49.276144,49.276144,e44c2235dd603dbee54fe08f7543e85a
83,,,,,,49.268339,49.268339,3596b4831ee2ea7812de753b32306835
84,,,,,,49.284062,49.284062,c448b73d92f7f8e1daafb3b9c5fbe6a6
85,,,,,,49.261742,49.261742,5fc29e0ac42c11abb45bf12aaeb925bd
86,,,,,,49.262206,49.262206,61901a235d4cfceb7f8f2c3888b98617
87,,,,,,49.27023,49.27023,175a074bf65455d1633639511dc129c8
88,,,,,,49.262062,49.262062,35eb539fb9298bb7e4f6759ca0256505
89,,,,,,49.27033,49.27033,7b8dfa12900bcb02b47a14e4e5010ba3
90,,,,,,49.258902,49.258902,b30ed0719dd281867a4d39779c78b58a
91,,,,,,49.265071,49.265071,ace20c241ee38643c9060f290b215b9d
92,,,,,,49.265198,49.265198,3aed670ccdcd94b966c0f505f8b028c7
93,,,,,,49.273691,49.273691,ae69aeab748d02e5a7d89da28a1a8511
94,,,,,,49.2685027,49.2685027,0c9ad3e3703e5869b82619ecdf54f43e
95,,,,,,49.288682,49.288682,f3708906ec71348f5a42579fede36a0d
96,,,,,,49.271741,49.271741,9449a6a83fbf88452e384350e5ac95b7
97,,,,,,49.262822,49.262822,365da33e9ce06ea53db1173a0f8eae71
98,,,,,,49.263635,49.263635,707c1c54e0278fbae5d0ae3c42a25b71
99,,,,,,49.28763,49.28763,5105df3dd0daf4c26980f4134f61e5cc
100,,,,,,49.297933,49.297933,82c794442f54fabf9db6e392ca1fac0f
